Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Color,Owner_Type,Mileage_kmpl,Price_Lakh
C1000,Tata,Nexon,2013,Hybrid,Automatic,Blue,First,18.97,6.59
C1001,Maruti,XUV500,2005,Diesel,Automatic,Green,First,19.51,33.01
C1002,Honda,XUV500,2009,Electric,Manual,White,First,15.14,7.11
C1003,Maruti,City,2010,Hybrid,Automatic,White,Fourth,18.51,28.47
C1004,Tata,Nexon,2018,Petrol,Automatic,Grey,First,10.79,10.16
C1005,Mahindra,Swift,2014,CNG,Automatic,White,First,23.97,12.71
C1006,Maruti,Duster,2024,Petrol,Automatic,Yellow,First,23.34,47.52
C1007,Toyota,City,2012,Electric,Automatic,Red,First,22.95,5.72
C1008,Tata,Polo,2014,Electric,Manual,Green,Second,18.9,33.32
C1009,Mahindra,Ecosport,2017,Electric,Automatic,Grey,First,21.07,33.73
C1010,Renault,XUV500,2014,Hybrid,Automatic,Grey,Third,15.23,46.59
C1011,Toyota,Seltos,2016,Hybrid,Manual,Yellow,Third,12.21,45.77
C1012,Volkswagen,Seltos,2015,Petrol,Manual,Silver,Fourth,20.48,25.87
C1013,Kia,Polo,2016,Hybrid,Manual,Grey,Second,12.36,28.52
C1014,Honda,Innova,2024,CNG,Automatic,Grey,Fourth,16.33,15.17
C1015,Toyota,Nexon,2009,Hybrid,Automatic,White,Fourth,22.38,49.22
C1016,Ford,Nexon,2006,Petrol,Automatic,Grey,Third,24.86,36.63
C1017,Volkswagen,Polo,2008,Diesel,Manual,Red,Fourth,15.27,21.31
C1018,Maruti,Ecosport,2014,Hybrid,Manual,White,Fourth,19.85,7.39
C1019,Tata,Ecosport,2018,Petrol,Manual,Blue,First,22.06,45.63
C1020,Toyota,Innova,2022,CNG,Manual,Black,Fourth,16.25,44.38
C1021,Tata,Creta,2017,Petrol,Automatic,Blue,First,10.88,14.45
C1022,Mahindra,City,2024,Hybrid,Automatic,Yellow,Third,19.92,5.67
C1023,Hyundai,Swift,2018,CNG,Automatic,Silver,Second,18.72,7.07
C1024,Hyundai,City,2017,CNG,Automatic,Red,Second,10.93,38.44
C1025,Tata,Innova,2017,Diesel,Automatic,Red,First,11.87,46.08
C1026,Tata,Polo,2005,Hybrid,Manual,Red,Second,19.44,14.63
C1027,Toyota,Duster,2024,Hybrid,Automatic,Black,Third,18.84,39.77
C1028,Maruti,Seltos,2015,CNG,Manual,Black,Second,11.4,34.13
C1029,Ford,Duster,2014,CNG,Automatic,Green,Fourth,18.4,35.32
C1030,Ford,City,2009,Petrol,Manual,Silver,Third,23.59,9.99
