Car_ID,Sale_Price_Lakh,Sale_Date,Buyer_Name
C1000,31.8,2023-05-27,Buyer_0
C1001,2.51,2022-11-13,Buyer_1
C1002,24.53,2022-11-09,Buyer_2
C1003,39.85,2023-08-05,Buyer_3
C1004,32.99,2022-07-26,Buyer_4
C1005,33.23,2022-02-05,Buyer_5
C1006,20.66,2022-08-25,Buyer_6
C1007,11.47,2022-05-31,Buyer_7
C1008,26.2,2022-12-20,Buyer_8
C1009,12.24,2023-09-23,Buyer_9
C1010,46.79,2023-06-10,Buyer_10
C1011,33.04,2023-12-14,Buyer_11
C1012,3.79,2023-06-11,Buyer_12
C1013,20.45,2022-05-05,Buyer_13
C1014,25.17,2022-07-18,Buyer_14
C1015,45.87,2023-07-11,Buyer_15
C1016,47.81,2022-11-10,Buyer_16
C1017,48.15,2023-11-26,Buyer_17
C1018,49.22,2022-09-20,Buyer_18
C1019,12.33,2023-07-21,Buyer_19
C1020,19.25,2022-02-03,Buyer_20
C1021,22.68,2023-01-08,Buyer_21
C1022,47.33,2022-08-24,Buyer_22
C1023,30.1,2022-06-24,Buyer_23
C1024,24.69,2023-07-23,Buyer_24
C1025,26.84,2022-12-22,Buyer_25
C1026,34.82,2022-08-28,Buyer_26
C1027,48.62,2023-10-09,Buyer_27
C1028,30.58,2022-06-02,Buyer_28
C1029,48.55,2022-12-16,Buyer_29
C1030,26.54,2023-06-10,Buyer_30
C1031,45.76,2022-09-27,Buyer_31
C1032,4.76,2023-03-27,Buyer_32
C1033,36.76,2022-09-16,Buyer_33
C1034,12.08,2023-12-13,Buyer_34
C1035,15.13,2023-10-05,Buyer_35
C1036,32.2,2023-02-15,Buyer_36
C1037,49.52,2023-01-24,Buyer_37
C1038,32.76,2022-11-14,Buyer_38
C1039,15.52,2022-10-03,Buyer_39
C1040,4.92,2023-04-05,Buyer_40
C1041,28.53,2023-01-22,Buyer_41
C1042,27.23,2022-01-25,Buyer_42
C1043,40.43,2022-06-11,Buyer_43
C1044,41.78,2022-03-30,Buyer_44
C1045,26.94,2022-01-18,Buyer_45
C1046,31.9,2023-01-31,Buyer_46
C1047,47.68,2022-08-19,Buyer_47
C1048,28.42,2023-01-08,Buyer_48
C1049,45.36,2022-12-07,Buyer_49
C1050,30.45,2023-03-22,Buyer_50
C1051,22.57,2023-07-18,Buyer_51
C1052,15.86,2022-12-28,Buyer_52
C1053,42.78,2022-05-30,Buyer_53
C1054,29.63,2022-05-17,Buyer_54
C1055,7.11,2023-05-23,Buyer_55
C1056,40.48,2022-05-31,Buyer_56
C1057,39.75,2023-01-05,Buyer_57
C1058,14.92,2023-03-06,Buyer_58
C1059,37.67,2022-01-17,Buyer_59
C1060,13.91,2023-10-10,Buyer_60
C1061,24.26,2022-09-18,Buyer_61
C1062,22.67,2022-05-27,Buyer_62
C1063,12.05,2023-11-29,Buyer_63
C1064,2.58,2022-11-29,Buyer_64
C1065,12.3,2022-11-18,Buyer_65
C1066,47.88,2023-11-04,Buyer_66
C1067,38.5,2023-08-06,Buyer_67
C1068,11.17,2023-02-21,Buyer_68
C1069,43.33,2023-02-18,Buyer_69
C1070,18.59,2022-05-04,Buyer_70
C1071,8.18,2023-11-22,Buyer_71
C1072,33.78,2023-05-02,Buyer_72
C1073,21.67,2023-09-12,Buyer_73
C1074,28.84,2023-07-16,Buyer_74
C1075,11.84,2023-08-21,Buyer_75
C1076,5.14,2022-08-17,Buyer_76
C1077,11.9,2022-09-21,Buyer_77
C1078,4.47,2023-07-09,Buyer_78
C1079,23.2,2022-04-22,Buyer_79
C1080,2.14,2023-07-20,Buyer_80
C1081,33.76,2023-06-23,Buyer_81
C1082,32.06,2022-01-18,Buyer_82
C1083,15.12,2022-02-20,Buyer_83
C1084,43.07,2023-09-05,Buyer_84
C1085,26.16,2022-04-06,Buyer_85
C1086,5.96,2023-07-14,Buyer_86
C1087,45.92,2022-12-01,Buyer_87
C1088,11.75,2022-08-10,Buyer_88
C1089,33.18,2023-03-13,Buyer_89
C1090,33.16,2023-01-16,Buyer_90
C1091,11.01,2023-03-13,Buyer_91
C1092,22.58,2023-04-24,Buyer_92
C1093,13.48,2022-03-27,Buyer_93
C1094,6.19,2022-09-26,Buyer_94
C1095,11.05,2023-07-18,Buyer_95
C1096,46.17,2023-01-08,Buyer_96
C1097,35.88,2023-12-01,Buyer_97
C1098,30.66,2023-02-16,Buyer_98
C1099,6.37,2022-03-14,Buyer_99
C1100,20.13,2023-01-27,Buyer_100
C1101,45.45,2022-01-21,Buyer_101
C1102,43.7,2023-01-18,Buyer_102
C1103,28.14,2022-07-18,Buyer_103
C1104,42.69,2023-04-07,Buyer_104
C1105,33.73,2023-04-17,Buyer_105
C1106,47.05,2022-08-28,Buyer_106
