Car_ID,Service_Type,Service_Date,Service_Cost,Service_Center
C1000,Battery Replacement,2020-05-13,14660,AutoCare
C1001,Battery Replacement,2020-06-08,19421,Speed Garage
C1002,Oil Change,2023-10-17,5879,Pitstop
C1003,Full Service,2020-09-01,16251,Mechanix
C1004,Brake Service,2020-01-04,8772,Speed Garage
C1005,Oil Change,2023-06-27,13596,CarZ
C1006,Oil Change,2020-01-19,4998,CarZ
C1007,Full Service,2021-10-14,18410,CarZ
C1008,Oil Change,2022-10-21,9215,Pitstop
C1009,Battery Replacement,2021-03-15,19134,FastFix
C1010,Oil Change,2021-06-10,8570,AutoCare
C1011,Full Service,2020-01-01,16567,CarZ
C1012,Brake Service,2023-11-04,17104,Mechanix
C1013,Brake Service,2021-03-17,6151,Pitstop
C1014,Tyre Change,2022-02-12,10822,AutoCare
C1015,Tyre Change,2023-10-01,10066,CarZ
C1016,Tyre Change,2021-05-22,19848,Speed Garage
C1017,Engine Repair,2023-02-07,9975,FastFix
C1018,Battery Replacement,2023-10-17,9624,Speed Garage
C1019,Oil Change,2022-02-05,10763,Speed Garage
C1020,Oil Change,2020-05-18,17591,CarZ
C1021,Brake Service,2020-12-01,6508,Pitstop
C1022,Full Service,2023-03-24,11004,AutoCare
C1023,Engine Repair,2021-10-20,10274,Mechanix
C1024,Engine Repair,2022-03-28,4346,FastFix
C1025,Brake Service,2022-02-24,9065,CarZ
C1026,Tyre Change,2023-07-13,7822,FastFix
C1027,Brake Service,2020-12-20,17105,CarZ
C1028,Brake Service,2023-09-02,18846,Speed Garage
C1029,Oil Change,2021-03-23,18935,FastFix
C1030,Tyre Change,2020-05-30,4261,AutoCare
C1031,Oil Change,2022-01-05,12133,AutoCare
C1032,Full Service,2021-12-19,6802,FastFix
C1033,Tyre Change,2021-10-19,13984,Pitstop
C1034,Engine Repair,2022-10-07,14797,Speed Garage
C1035,Tyre Change,2023-02-14,18923,Pitstop
C1036,Tyre Change,2021-11-04,14735,FastFix
C1037,Oil Change,2022-10-18,17314,Mechanix
C1038,Oil Change,2020-09-03,9568,Mechanix
C1039,Engine Repair,2023-02-15,4544,Pitstop
C1040,Full Service,2020-03-21,4849,FastFix
C1041,Full Service,2022-10-03,9197,Pitstop
C1042,Full Service,2023-07-12,17661,FastFix
C1043,Brake Service,2021-03-29,2166,Speed Garage
C1044,Tyre Change,2023-03-23,2053,Mechanix
C1045,Battery Replacement,2020-09-15,12232,CarZ
C1046,Tyre Change,2020-01-04,11546,Speed Garage
C1047,Brake Service,2020-01-22,8834,Mechanix
C1048,Engine Repair,2020-01-12,5807,CarZ
C1049,Oil Change,2020-04-07,2773,AutoCare
C1050,Full Service,2020-11-20,8532,Speed Garage
C1051,Tyre Change,2020-03-27,16180,Pitstop
C1052,Battery Replacement,2020-02-03,15470,AutoCare
C1053,Tyre Change,2021-01-22,15280,CarZ
C1054,Engine Repair,2023-04-22,9664,AutoCare
C1055,Brake Service,2022-11-26,9382,FastFix
C1056,Tyre Change,2023-02-27,16400,Mechanix
C1057,Full Service,2022-05-09,12526,Mechanix
C1058,Oil Change,2022-01-17,8686,AutoCare
C1059,Brake Service,2023-09-12,7987,FastFix
C1060,Brake Service,2023-11-04,3492,AutoCare
C1061,Full Service,2020-10-29,19947,AutoCare
C1062,Brake Service,2021-09-13,17243,Mechanix
C1063,Battery Replacement,2021-12-09,17796,CarZ
C1064,Full Service,2021-11-18,4468,AutoCare
C1065,Full Service,2023-01-03,3278,CarZ
C1066,Tyre Change,2020-01-22,16211,FastFix
C1067,Engine Repair,2022-05-07,6602,Speed Garage
C1068,Tyre Change,2021-09-28,11424,CarZ
C1069,Oil Change,2020-11-24,18285,FastFix
C1070,Full Service,2022-02-23,5822,AutoCare
C1071,Full Service,2020-04-02,4470,Speed Garage
C1072,Full Service,2020-06-23,3102,AutoCare
C1073,Brake Service,2021-05-14,17627,CarZ
C1074,Oil Change,2021-03-27,12657,Speed Garage
C1075,Brake Service,2023-03-05,16986,Mechanix
C1076,Engine Repair,2020-02-24,4847,AutoCare
C1077,Engine Repair,2023-02-28,13664,AutoCare
C1078,Full Service,2022-09-18,16322,Mechanix
C1079,Engine Repair,2020-10-12,10479,Mechanix
C1080,Brake Service,2023-06-10,4541,Speed Garage
C1081,Brake Service,2020-12-08,18760,CarZ
C1082,Battery Replacement,2022-01-13,6982,Speed Garage
C1083,Battery Replacement,2023-08-01,13178,Mechanix
C1084,Oil Change,2023-06-20,18830,Pitstop
C1085,Engine Repair,2020-08-16,9044,Mechanix
C1086,Battery Replacement,2022-07-30,2107,CarZ
C1087,Brake Service,2022-05-13,16422,CarZ
C1088,Battery Replacement,2022-06-21,14763,AutoCare
C1089,Brake Service,2020-04-11,12637,FastFix
C1090,Full Service,2021-04-28,16125,Pitstop
C1091,Engine Repair,2021-01-23,2528,Speed Garage
C1092,Oil Change,2022-08-27,5522,Mechanix
C1093,Brake Service,2022-05-05,10689,Mechanix
C1094,Full Service,2021-05-26,12683,FastFix
C1095,Engine Repair,2020-08-16,13745,CarZ
C1096,Tyre Change,2023-11-01,9563,AutoCare
C1097,Battery Replacement,2021-11-11,13030,AutoCare
C1098,Brake Service,2023-04-23,15143,Mechanix
C1099,Full Service,2020-09-25,6097,FastFix
C1100,Engine Repair,2023-03-01,15963,Mechanix
C1101,Engine Repair,2022-10-30,15962,Pitstop
C1102,Battery Replacement,2022-09-05,8338,Mechanix
C1103,Battery Replacement,2022-03-08,2950,AutoCare
C1104,Engine Repair,2022-11-29,14491,AutoCare
C1105,Engine Repair,2021-07-17,15303,CarZ
C1106,Battery Replacement,2022-04-02,6954,Mechanix
C1107,Full Service,2022-01-06,5982,Speed Garage
C1108,Oil Change,2022-09-11,9336,CarZ
C1109,Brake Service,2023-12-15,9703,Mechanix
C1110,Oil Change,2023-08-31,19516,AutoCare
C1111,Tyre Change,2021-12-28,10064,AutoCare
C1112,Oil Change,2023-03-18,3723,FastFix
C1113,Oil Change,2022-08-29,11288,Speed Garage
C1114,Brake Service,2020-10-02,11318,Mechanix
C1115,Oil Change,2021-12-06,13814,Pitstop
C1116,Battery Replacement,2020-12-21,10054,FastFix
C1117,Brake Service,2023-01-14,13677,FastFix
C1118,Brake Service,2021-12-31,15412,Pitstop
C1119,Battery Replacement,2021-12-17,9735,AutoCare
C1120,Tyre Change,2021-09-11,8909,FastFix
C1121,Battery Replacement,2023-06-05,8856,FastFix
C1122,Engine Repair,2023-08-17,18067,FastFix
C1123,Brake Service,2022-11-11,5087,AutoCare
C1124,Battery Replacement,2022-11-15,8863,Mechanix
C1125,Engine Repair,2021-07-24,12207,Pitstop
C1126,Tyre Change,2020-12-14,17768,CarZ
C1127,Engine Repair,2022-08-15,8514,Speed Garage
C1128,Engine Repair,2023-10-21,18028,AutoCare
C1129,Full Service,2020-08-16,14348,CarZ
C1130,Brake Service,2021-11-24,12983,Speed Garage
C1131,Full Service,2022-03-22,3712,Pitstop
C1132,Oil Change,2020-08-24,14391,Speed Garage
C1133,Full Service,2020-10-17,10153,FastFix
C1134,Battery Replacement,2022-12-17,17506,AutoCare
C1135,Engine Repair,2020-08-26,15254,CarZ
C1136,Brake Service,2023-11-01,6643,Mechanix
C1137,Brake Service,2021-12-27,16651,FastFix
C1138,Oil Change,2023-06-02,15559,CarZ
C1139,Engine Repair,2023-03-09,5031,Pitstop
C1140,Engine Repair,2020-02-12,2544,Speed Garage
C1141,Full Service,2023-07-30,13322,AutoCare
C1142,Tyre Change,2021-11-19,15726,CarZ
C1143,Engine Repair,2023-09-06,12799,AutoCare
C1144,Full Service,2020-02-29,3229,FastFix
C1145,Tyre Change,2020-08-05,5844,CarZ
